model,dependency_module,steps,passed,timeouts,missing,pass_rate
ollama/devstral-small-2:latest,cmath,8,3,0,0,0.375
ollama/devstral-small-2:latest,collections,3,0,0,0,0.0
ollama/devstral-small-2:latest,copy,3,1,0,0,0.3333333333333333
ollama/devstral-small-2:latest,functools,3,1,0,0,0.3333333333333333
ollama/devstral-small-2:latest,itertools,40,9,1,0,0.225
ollama/devstral-small-2:latest,math,34,8,0,0,0.23529411764705882
ollama/devstral-small-2:latest,mpl_toolkits,7,2,0,0,0.2857142857142857
ollama/devstral-small-2:latest,numpy,288,51,3,0,0.17708333333333334
ollama/devstral-small-2:latest,os,7,2,0,0,0.2857142857142857
ollama/devstral-small-2:latest,pickle,7,2,0,0,0.2857142857142857
ollama/devstral-small-2:latest,random,3,0,0,0,0.0
ollama/devstral-small-2:latest,scipy,129,24,0,0,0.18604651162790697
ollama/devstral-small-2:latest,sympy,2,0,0,0,0.0
ollama/devstral-small-2:latest,time,7,2,0,0,0.2857142857142857
ollama/rnj-1:latest,cmath,8,0,0,0,0.0
ollama/rnj-1:latest,collections,3,0,0,0,0.0
ollama/rnj-1:latest,copy,3,1,0,0,0.3333333333333333
ollama/rnj-1:latest,functools,3,1,0,0,0.3333333333333333
ollama/rnj-1:latest,itertools,40,7,0,0,0.175
ollama/rnj-1:latest,math,34,5,0,0,0.14705882352941177
ollama/rnj-1:latest,mpl_toolkits,7,2,0,0,0.2857142857142857
ollama/rnj-1:latest,numpy,288,38,1,0,0.13194444444444445
ollama/rnj-1:latest,os,7,2,0,0,0.2857142857142857
ollama/rnj-1:latest,pickle,7,2,0,0,0.2857142857142857
ollama/rnj-1:latest,random,3,0,0,0,0.0
ollama/rnj-1:latest,scipy,129,16,1,0,0.12403100775193798
ollama/rnj-1:latest,sympy,2,0,0,0,0.0
ollama/rnj-1:latest,time,7,2,0,0,0.2857142857142857
