phase,model,model_slug,problem_id,problem_name,nominal_total_steps,executed_total_steps,passed_steps,failed_steps,timeout_steps,missing_steps,benchmark_subproblem_pass_rate,executed_subproblem_pass_rate,benchmark_problem_solved,executed_problem_solved,dependency_modules,returncode,duration_seconds
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,77,Berendsen_thermostat,12,12,2,10,0,0,0.16666666666666666,0.16666666666666666,0,0,"math,numpy,scipy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,11,GADC_entanglement,12,12,2,10,0,0,0.16666666666666666,0.16666666666666666,0,0,"itertools,numpy,scipy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,12,Schrodinger_DFT_with_SCF,14,14,0,14,0,0,0.0,0.0,0,0,"numpy,scipy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,13,Maxwell_Equation_Solver,15,14,3,11,0,0,0.2,0.21428571428571427,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2,Gaussian_Beam_Focus,1,1,0,1,0,0,0.0,0.0,0,0,"numpy,scipy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,74,Householder_QR,1,1,0,1,0,0,0.0,0.0,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,5,Lanczos,1,1,0,1,0,0,0.0,0.0,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,8,Spatial_filters_III,1,1,0,1,0,0,0.0,0.0,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,9,Weighted_Jacobi,1,1,0,1,0,0,0.0,0.0,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,14,Brownian_motion_in_the_optical_tweezer,2,2,0,2,0,0,0.0,0.0,0,0,numpy,0,5152.458061354002
